,Title,Language_Rating
0,Thangalaan,U/ATamil
1,Demonte Colony 2,U/ATamil
2,Raghu Thatha,U/ATamil
3,Andhagan,U/ATamil
4,Double iSmart,ATelugu
5,Mr. Bachchan,U/ATelugu
6,Nunakkuzhi,U/AMalayalam
7,Stree 2,U/AHindi
8,Vedaa,"U/AHindi, Tamil"
9,Khel Khel Mein,U/AHindi
10,Raayan,ATamil
11,Deadpool & Wolverine,"ATamil, English"
12,It Ends With Us,AEnglish
13,Manichitrathazhu [1993],UMalayalam
14,Vaazha - Biopic of a Billion Boys,U/AMalayalam
15,Kalki 2898 AD,U/ATamil
16,Inside Out 2,UEnglish
17,Pechi,U/ATamil
18,Despicable Me 4,UEnglish
19,Minmini,UTamil
20,Indra,U/ATelugu
21,Maharaja,U/ATamil
22,Vinnaithaandi Varuvaayaa,U/ATamil
